,REpository Name,Description of repository,Language,Contributions
0,fuergaosi233 /,Use ChatGPT On Wechat via wechaty,TypeScript,"TypeScript 2,433 391 Built by
730 stars today"
1,869413421 /,ä¸ºä¸ªäººå¾®ä¿¡æ¥å…¥ChatGPT,Go,"Go 426 98 Built by
128 stars today"
2,exaloop /,"A high-performance, zero-overhead, extensible Python compiler using LLVM",C++,"C++ 1,578 31 Built by
491 stars today"
3,doocs /,ğŸ˜ LeetCode solutions in any programming language | å¤šç§ç¼–ç¨‹è¯­è¨€å®ç° LeetCodeã€ã€Šå‰‘æŒ‡ Offerï¼ˆç¬¬ 2 ç‰ˆï¼‰ã€‹ã€ã€Šç¨‹åºå‘˜é¢è¯•é‡‘å…¸ï¼ˆç¬¬ 6 ç‰ˆï¼‰ã€‹é¢˜è§£,Java,"Java 18,970 3,471 Built by
453 stars today"
4,teaxyz /,the unified package manager (brew2),TypeScript,"TypeScript 3,575 139 Built by
232 stars today"
5,Tencent /,Hippy is designed to easily build cross-platform dynamic apps. ğŸ‘,C++,"C++ 7,169 858 Built by
121 stars today"
6,cloneofsimo /,Using Low-rank adaptation to quickly fine-tune diffusion models.,Jupyter,"Jupyter Notebook 189 14 Built by
45 stars today"
7,AutumnWhj /,ChatGPT for wechat,TypeScript,"TypeScript 556 85 Built by
184 stars today"
8,PathOfBuildingCommunity /,Offline build planner for Path of Exile.,Lua,"Lua 2,502 1,627 Built by
9 stars today"
9,surrealdb /,"A scalable, distributed, collaborative, document-graph database, for the realtime web",Rust,"Rust 16,206 377 Built by
115 stars today"
10,gragland /,A ChatGPT Chrome extension. Integrates ChatGPT into every text box on the internet.,JavaScript,"JavaScript 444 48 Built by
80 stars today"
11,wangrongding /,ğŸ¤–ä¸€ä¸ªåŸºäºOpenAi ChatGPT + WeChaty å®ç°çš„å¾®ä¿¡æœºå™¨äºº å¯ä»¥ç”¨æ¥å¸®åŠ©ä½ è‡ªåŠ¨å›å¤å¾®ä¿¡æ¶ˆæ¯ï¼Œæˆ–è€…ç®¡ç†å¾®ä¿¡ç¾¤/å¥½å‹.,JavaScript,"JavaScript 197 33 Built by
70 stars today"
12,mohammadpz /,Implementation of Hinton's forward-forward (FF) algorithm - an alternative to back-propagation,Python,"Python 227 17 Built by
40 stars today"
13,holbertonschool /,Holberton-style C code checker written in Perl,Perl,"Perl 672 1,056 Built by
7 stars today"
14,humanloop /,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3","1,011","1,011 24 Built by
312 stars today"
15,rawandahmad698 /,"âš¡ï¸ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",Python,"Python 1,516 122 Built by
239 stars today"
16,pulsar-edit /,A Community-led Hyper-Hackable Text Editor,JavaScript,"JavaScript 402 27 Built by
42 stars today"
17,bupticybee /,ä¸­æ–‡ç‰ˆçš„aiåœ°ç‰¢ï¼Œç›´æ¥ä½¿ç”¨çš„openaiçš„ChatGPT apiä½œä¸ºè®²æ•…äº‹çš„æ¨¡å‹ã€‚,Python,"Python 561 39 Built by
31 stars today"
18,f /,This repo includes ChatGPT promt curation to use ChatGPT better.,"1,721","1,721 52 Built by
230 stars today"
19,louislam /,A fancy self-hosted monitoring tool,JavaScript,"JavaScript 24,548 2,065 Built by
143 stars today"
20,pichenettes /,Eurorack modules,C++,"C++ 2,033 555 Built by
7 stars today"
21,acheong08 /,Lightweight package for interacting with ChatGPT's API by OpenAI. Uses reverse engineered official API.,Python,"Python 5,421 529 Built by
765 stars today"
22,paradigmxyz /,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",C,"C 684 38 Built by
123 stars today"
23,bytedance /,"A fast JSON serializing & deserializing library, accelerated by SIMD.",C++,"C++ 247 22 Built by
25 stars today"
24,AmazingAng /,æˆ‘æœ€è¿‘åœ¨é‡æ–°å­¦solidityï¼Œå·©å›ºä¸€ä¸‹ç»†èŠ‚ï¼Œä¹Ÿå†™ä¸€ä¸ªâ€œWTF Solidityæç®€å…¥é—¨â€ï¼Œä¾›å°ç™½ä»¬ä½¿ç”¨ï¼Œæ¯å‘¨æ›´æ–°1-3è®²ã€‚å®˜ç½‘: https://wtf.academy,Solidity,"Solidity 4,655 696 Built by
34 stars today"
