,Names,genre,rating,votes
0,1. Game of Thrones (2011–2019),"TV-MA | 57 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
1,2. Stranger Things (2016– ),"TV-14 | 51 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
2,3. The Walking Dead (2010–2022),"TV-MA | 44 min | Drama, Horror, Thriller",8.6,"Votes: 245,425"
3,4. 13 Reasons Why (2017–2020),"TV-MA | 60 min | Drama, Mystery, Thriller",8.6,"Votes: 245,425"
4,5. The 100 (2014–2020),"TV-14 | 43 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
5,6. Orange Is the New Black (2013–2019),"TV-MA | 59 min | Comedy, Crime, Drama",8.6,"Votes: 245,425"
6,7. Riverdale (2017– ),"TV-14 | 45 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
7,8. Grey's Anatomy (2005– ),"TV-14 | 41 min | Drama, Romance",8.6,"Votes: 245,425"
8,9. The Flash (2014–2023),"TV-PG | 43 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
9,10. Arrow (2012–2020),"TV-14 | 42 min | Action, Adventure, Crime",8.6,"Votes: 245,425"
10,11. Money Heist (2017–2021),"TV-MA | 70 min | Action, Crime, Drama",8.6,"Votes: 245,425"
11,12. The Big Bang Theory (2007–2019),"TV-PG | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
12,13. Black Mirror (2011–2019),"TV-MA | 60 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
13,14. Sherlock (2010–2017),"TV-14 | 88 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
14,15. Vikings (2013–2020),"TV-MA | 44 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
15,16. Pretty Little Liars (2010–2017),"TV-14 | 44 min | Drama, Mystery, Romance",8.6,"Votes: 245,425"
16,17. The Vampire Diaries (2009–2017),"TV-14 | 43 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
17,18. American Horror Story (2011– ),"TV-MA | 60 min | Drama, Horror, Sci-Fi",8.6,"Votes: 245,425"
18,19. Breaking Bad (2008–2013),"TV-MA | 49 min | Crime, Drama, Thriller",8.6,"Votes: 245,425"
19,20. Lucifer (2016–2021),"TV-14 | 42 min | Crime, Drama, Fantasy",8.6,"Votes: 245,425"
20,21. Supernatural (2005–2020),"TV-14 | 44 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
21,22. Prison Break (2005–2017),"TV-14 | 44 min | Action, Crime, Drama",8.6,"Votes: 245,425"
22,23. How to Get Away with Murder (2014–2020),"TV-14 | 43 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
23,24. Teen Wolf (2011–2017),"TV-14 | 41 min | Action, Drama, Fantasy",8.6,"Votes: 245,425"
24,25. The Simpsons (1989– ),"TV-14 | 22 min | Animation, Comedy",8.6,"Votes: 245,425"
25,26. Once Upon a Time (2011–2018),"TV-PG | 60 min | Adventure, Fantasy, Romance",8.6,"Votes: 245,425"
26,27. Narcos (2015–2017),"TV-MA | 49 min | Biography, Crime, Drama",8.6,"Votes: 245,425"
27,28. Daredevil (2015–2018),"TV-MA | 54 min | Action, Crime, Drama",8.6,"Votes: 245,425"
28,29. Friends (1994–2004),"TV-14 | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
29,30. How I Met Your Mother (2005–2014),"TV-14 | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
30,31. Suits (2011–2019),"TV-14 | 44 min | Comedy, Drama",8.6,"Votes: 245,425"
31,32. Mr. Robot (2015–2019),"TV-MA | 49 min | Crime, Drama, Thriller",8.6,"Votes: 245,425"
32,33. The Originals (2013–2018),"TV-14 | 45 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
33,34. Supergirl (2015–2021),"TV-PG | 43 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
34,35. Gossip Girl (2007–2012),"TV-14 | 42 min | Drama, Romance",8.6,"Votes: 245,425"
35,36. Sense8 (2015–2018),"TV-MA | 60 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
36,37. Gotham (2014–2019),"TV-14 | 42 min | Action, Crime, Drama",8.6,"Votes: 245,425"
37,38. Westworld (2016–2022),"TV-MA | 62 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
38,39. Jessica Jones (2015–2019),"TV-MA | 56 min | Action, Crime, Drama",8.6,"Votes: 245,425"
39,40. Modern Family (2009–2020),"TV-PG | 22 min | Comedy, Drama, Romance",8.6,"Votes: 245,425"
40,41. Rick and Morty (2013– ),"TV-14 | 23 min | Animation, Adventure, Comedy",8.6,"Votes: 245,425"
41,42. Shadowhunters (2016–2019),"TV-14 | 42 min | Action, Drama, Fantasy",8.6,"Votes: 245,425"
42,43. The End of the F***ing World (2017–2019),"TV-MA | 25 min | Adventure, Comedy, Crime",8.6,"Votes: 245,425"
43,44. House of Cards (2013–2018),TV-MA | 51 min | Drama,8.6,"Votes: 245,425"
44,45. Dark (2017–2020),"TV-MA | 60 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
45,46. Elite (2018– ),"TV-MA | 60 min | Crime, Drama, Thriller",8.6,"Votes: 245,425"
46,47. Sex Education (2019– ),"TV-MA | 45 min | Comedy, Drama",8.6,"Votes: 245,425"
47,48. Shameless (2011–2021),"TV-MA | 46 min | Comedy, Drama",8.6,"Votes: 245,425"
48,49. New Girl (2011–2018),"TV-14 | 22 min | Comedy, Romance",8.6,"Votes: 245,425"
49,50. Agents of S.H.I.E.L.D. (2013–2020),"TV-PG | 45 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
50,51. You (2018– ),"TV-MA | 45 min | Crime, Drama, Romance",8.6,"Votes: 245,425"
51,52. Dexter (2006–2013),"TV-MA | 53 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
52,53. Fear the Walking Dead (2015– ),"TV-MA | 44 min | Drama, Horror, Sci-Fi",8.6,"Votes: 245,425"
53,54. Family Guy (1999– ),"TV-MA | 22 min | Animation, Comedy",8.6,"Votes: 245,425"
54,55. The Blacklist (2013– ),"TV-14 | 43 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
55,56. Lost (2004–2010),"TV-14 | 44 min | Adventure, Drama, Fantasy",8.6,"Votes: 245,425"
56,57. Peaky Blinders (2013–2022),"TV-MA | 60 min | Crime, Drama",8.6,"Votes: 245,425"
57,58. House (2004–2012),"TV-14 | 44 min | Drama, Mystery",8.6,"Votes: 245,425"
58,59. Quantico (2015–2018),"TV-14 | 42 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
59,60. Orphan Black (2013–2017),"TV-MA | 44 min | Drama, Sci-Fi, Thriller",8.6,"Votes: 245,425"
60,61. Homeland (2011–2020),"TV-MA | 55 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
61,62. Blindspot (2015–2020),"TV-14 | 42 min | Action, Crime, Drama",8.6,"Votes: 245,425"
62,63. DC's Legends of Tomorrow (2016–2022),"TV-14 | 42 min | Action, Adventure, Drama",8.6,"Votes: 245,425"
63,64. The Handmaid's Tale (2017– ),"TV-MA | 60 min | Drama, Sci-Fi, Thriller",8.6,"Votes: 245,425"
64,65. Chilling Adventures of Sabrina (2018–2020),"TV-14 | 60 min | Drama, Fantasy, Horror",8.6,"Votes: 245,425"
65,66. The Good Doctor (2017– ),TV-14 | 41 min | Drama,8.6,"Votes: 245,425"
66,67. Jane the Virgin (2014–2019),TV-PG | 60 min | Comedy,8.6,"Votes: 245,425"
67,68. Glee (2009–2015),"TV-PG | 44 min | Comedy, Drama, Music",8.6,"Votes: 245,425"
68,69. South Park (1997– ),"TV-14 | 22 min | Animation, Comedy",8.6,"Votes: 245,425"
69,70. Brooklyn Nine-Nine (2013–2021),"TV-14 | 22 min | Comedy, Crime",8.6,"Votes: 245,425"
70,71. Under the Dome (2013–2015),"TV-14 | 43 min | Drama, Mystery, Sci-Fi",8.6,"Votes: 245,425"
71,72. The Umbrella Academy (2019–2023),"TV-14 | 60 min | Action, Adventure, Comedy",8.6,"Votes: 245,425"
72,73. True Detective (2014–2019),"TV-MA | 55 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
73,74. The OA (2016–2019),"TV-MA | 60 min | Drama, Fantasy, Mystery",8.6,"Votes: 245,425"
74,75. Desperate Housewives (2004–2012),"TV-14 | 45 min | Comedy, Drama, Mystery",8.6,"Votes: 245,425"
75,76. Better Call Saul (2015–2022),"TV-MA | 46 min | Crime, Drama",8.6,"Votes: 245,425"
76,77. Bates Motel (2013–2017),"TV-MA | 45 min | Drama, Horror, Mystery",8.6,"Votes: 245,425"
77,78. The Punisher (2017–2019),"TV-MA | 53 min | Action, Crime, Drama",8.6,"Votes: 245,425"
78,79. Atypical (2017–2021),"TV-MA | 30 min | Comedy, Drama",8.6,"Votes: 245,425"
79,80. Dynasty (2017–2022),TV-14 | 42 min | Drama,8.6,"Votes: 245,425"
80,81. This Is Us (2016–2022),"TV-14 | 45 min | Comedy, Drama, Romance",8.6,"Votes: 245,425"
81,82. The Good Place (2016–2020),"TV-PG | 22 min | Comedy, Drama, Fantasy",8.6,"Votes: 245,425"
82,83. Iron Fist (2017–2018),"TV-MA | 55 min | Action, Adventure, Crime",8.6,"Votes: 245,425"
83,84. The Rain (2018–2020),"TV-MA | 45 min | Drama, Sci-Fi, Thriller",8.6,"Votes: 245,425"
84,85. Mindhunter (2017–2019),"TV-MA | 60 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
85,86. Revenge (2011–2015),"TV-14 | 44 min | Drama, Mystery, Thriller",8.6,"Votes: 245,425"
86,87. Luke Cage (2016–2018),"TV-MA | 55 min | Action, Crime, Drama",8.6,"Votes: 245,425"
87,88. Scandal (2012–2018),"TV-14 | 43 min | Drama, Thriller",8.6,"Votes: 245,425"
88,89. The Defenders (2017),"TV-MA | 50 min | Action, Adventure, Crime",8.6,"Votes: 245,425"
89,90. Big Little Lies (2017–2019),"TV-MA | 60 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
90,91. Insatiable (2018–2019),"TV-MA | 45 min | Comedy, Drama, Thriller",8.6,"Votes: 245,425"
91,92. The Mentalist (2008–2015),"TV-14 | 43 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
92,93. The Crown (2016– ),"TV-MA | 58 min | Biography, Drama, History",8.6,"Votes: 245,425"
93,94. Chernobyl (2019),"TV-MA | 330 min | Drama, History, Thriller",8.6,"Votes: 245,425"
94,95. iZombie (2015–2019),"TV-14 | 42 min | Comedy, Crime, Drama",8.6,"Votes: 245,425"
95,96. Reign (2013–2017),TV-14 | 42 min | Drama,8.6,"Votes: 245,425"
96,97. A Series of Unfortunate Events (2017–2019),"TV-PG | 50 min | Adventure, Comedy, Drama",8.6,"Votes: 245,425"
97,98. Criminal Minds (2005– ),"TV-14 | 42 min | Crime, Drama, Mystery",8.6,"Votes: 245,425"
98,99. Scream: The TV Series (2015–2019),"TV-14 | 45 min | Comedy, Crime, Drama",8.6,"Votes: 245,425"
99,100. The Haunting of Hill House (2018),"TV-MA | 572 min | Drama, Horror, Mystery",8.6,"Votes: 245,425"
